iter	RMSE
0	1.020268839
1	1.009022449
2	0.9993036853
3	0.9908605831
4	0.9835984397
5	0.9772218674
6	0.9719343828
7	0.9668440936
8	0.9620714103
9	0.9583214543
10	0.954633363
11	0.9514756881
12	0.9487820621
13	0.946277904
14	0.9441578475
15	0.9421714238
16	0.940396738
17	0.9386305181
18	0.9371395991
19	0.9358123708
20	0.9348032594
21	0.9338538874
22	0.9327727193
23	0.9318504649
24	0.9310593792
25	0.9301599905
26	0.92932166
27	0.9285508463
28	0.9277615287
29	0.9270255068
30	0.9263455176
31	0.9255645471
32	0.9250522413
33	0.9246212039
34	0.9242323175
35	0.9237625593
36	0.9233485121
37	0.9230865674
38	0.922334718
39	0.9219449527
40	0.9215036665
41	0.9211199196
42	0.9209104291
43	0.920472213
44	0.9201756034
45	0.9198914262
46	0.9193056006
47	0.9190089036
48	0.9185057974
49	0.9183067453
50	0.917816099
51	0.917449029
52	0.9171056167
53	0.9168645331
54	0.9166520253
55	0.916206836
56	0.9159242632
57	0.9157831863
58	0.9155885061
59	0.9153682584
60	0.9151241254
61	0.9147839352
62	0.9145000781
63	0.9143167651
64	0.9141634594
65	0.9137069348
66	0.9135271611
67	0.9129366793
68	0.9127848943
69	0.9125664516
70	0.9123694022
71	0.9121409006
72	0.9119931157
73	0.9118698801
74	0.9115367768
75	0.9114060876
76	0.9112281963
77	0.9110127478
78	0.9108637706
79	0.9107603196
80	0.9106696705
81	0.910575061
82	0.9104288092
83	0.9103025732
84	0.9101634757
85	0.9100140478
86	0.9097388287
87	0.9095425314
88	0.9094841706
89	0.9093133212
90	0.9091752678
91	0.9090719386
92	0.9089058152
93	0.908820801
94	0.908741231
95	0.9086579073
96	0.9084216127
97	0.908380504
98	0.9082486407
99	0.9082335598
100	0.9079888631
101	0.90793933
102	0.9077422032
103	0.9075745003
104	0.9075051603
105	0.9073552074
106	0.9071864379
107	0.9071011497
108	0.9070390044
109	0.9069842558
110	0.906826944
111	0.9067695687
112	0.9067256321
113	0.9066726532
114	0.9064965204
115	0.9064292002
116	0.906281021
117	0.9061615757
118	0.905995732
119	0.9058579135
120	0.905743015
121	0.9056448447
122	0.9054979791
123	0.9054016403
124	0.9053868572
125	0.9052530097
126	0.9052201833
127	0.9050655308
128	0.9049868911
129	0.9048360376
130	0.9047818321
131	0.9047286011
132	0.9046961881
133	0.9045065249
134	0.9044266174
135	0.9042270415
136	0.9039796855
137	0.9037887369
138	0.9036484711
139	0.9035200996
140	0.9033547867
141	0.9032469852
142	0.9031661692
143	0.9030711162
144	0.902940109
145	0.9028340293
146	0.902768397
147	0.9026739365
148	0.902565999
149	0.9024229276
150	0.9023299314
151	0.902215361
152	0.9020861105
153	0.9019344655
154	0.9018084904
155	0.9017490775
156	0.9016785273
157	0.9014984955
158	0.9014256914
159	0.9013249827
160	0.9011843526
161	0.9007864022
162	0.9006963738
163	0.900617479
164	0.9005324502
165	0.9004403601
166	0.9003838973
167	0.9003080919
168	0.9001575952
169	0.8999105114
170	0.8997872247
171	0.8996931327
172	0.8996048535
173	0.89953437
174	0.8994304867
175	0.8992687844
176	0.8990998566
177	0.898987953
178	0.8988940432
179	0.898864423
180	0.8987577087
181	0.8986434646
182	0.8985220368
183	0.8984256212
184	0.898359861
185	0.8982856369
186	0.8982158007
187	0.8980026073
188	0.8979120015
189	0.8978496655
190	0.8977512928
191	0.8976865141
192	0.897584969
193	0.8975021681
194	0.8974525679
195	0.8974093257
196	0.8973368537
197	0.8972988175
198	0.8972592296
199	0.8971696739
200	0.8970636639
201	0.8969428591
202	0.8968348101
203	0.8967281615
204	0.8966767062
205	0.8966195513
206	0.8965728986
207	0.8964995407
208	0.8964355655
209	0.8963332419
210	0.8962639627
211	0.8961789615
212	0.896109072
213	0.8960776219
214	0.8960405876
215	0.8959603506
216	0.8959264819
217	0.8958283503
218	0.8957226862
219	0.8956401208
220	0.8956115055
221	0.8955365792
222	0.8954435524
223	0.8953693064
224	0.8952831172
225	0.8952399905
226	0.8951772605
227	0.89512714
228	0.8950153694
229	0.8949151747
230	0.8948319528
231	0.8947675878
232	0.8947037541
233	0.8946725301
234	0.8946110438
235	0.8945455476
236	0.8945095141
237	0.894427205
238	0.8943318912
239	0.8942394849
240	0.8941976348
241	0.8941150687
242	0.8940610748
243	0.8939679234
244	0.8938898174
245	0.893792098
246	0.8937239501
247	0.8936490976
248	0.8936112103
249	0.8935891689
250	0.8934549167
251	0.8933999275
252	0.8933838283
253	0.8932837302
254	0.8931954703
255	0.893130629
256	0.8930574816
257	0.8929926501
258	0.8929899803
259	0.8929375691
260	0.8928751976
261	0.8928104135
262	0.8927502456
263	0.8925362333
264	0.8924869307
265	0.8924503024
266	0.8923550967
267	0.8922598976
268	0.8922480532
269	0.8920948141
270	0.8920416073
271	0.891971456
272	0.8918802073
273	0.8918260693
274	0.8915728836
275	0.891496707
276	0.8914450446
277	0.8913882289
278	0.8913192557
279	0.891255588
280	0.891217559
281	0.8911198296
282	0.8910480821
283	0.8909491452
284	0.8908644877
285	0.8907948105
286	0.8907418788
287	0.8907264376
288	0.8906311871
289	0.8905752366
290	0.890523067
291	0.8904732494
292	0.8904060114
293	0.8903513551
294	0.8902583743
295	0.89023201
296	0.8901902363
297	0.8900936834
298	0.8900607019
299	0.8899471944
300	0.8899049108
301	0.8898589231
302	0.8898107605
303	0.8897623198
304	0.8896767074
305	0.889639908
306	0.88958976
307	0.8895400897
308	0.889497068
309	0.8893864086
310	0.8893311007
311	0.8892728759
312	0.8892303707
313	0.8890902541
314	0.8890086677
315	0.8889942159
316	0.8889557233
317	0.8889198037
318	0.8889166519
319	0.8888500259
320	0.8886628293
321	0.8884682276
322	0.8884596617
323	0.8884078614
324	0.8883747305
325	0.8883464376
326	0.8882809485
327	0.8882239551
328	0.8881301042
329	0.8880893647
330	0.888031114
331	0.8879746627
332	0.8879259287
333	0.8878808291
334	0.8878130873
335	0.887767157
336	0.887696718
337	0.8876254602
338	0.887583875
339	0.8875171685
340	0.8874384236
341	0.8874144535
342	0.8873864829
343	0.887342211
344	0.8873060292
345	0.8872468976
346	0.8872366261
347	0.8871831535
348	0.8871029835
349	0.8870765352
350	0.8870045434
351	0.8869255636
352	0.8868974616
353	0.8868341682
354	0.886710334
355	0.8866327487
356	0.8865806551
357	0.886520011
358	0.8864747312
359	0.886423646
360	0.8863419721
361	0.8863079274
362	0.88626412
363	0.8862089278
364	0.886190157
365	0.8861690275
366	0.8861550344
367	0.8861090077
368	0.8860250406
369	0.8859810111
