iter	Passed	Remaining
0	204	204003
1	250	124950
2	293	97534
3	338	84278
4	383	76242
5	427	70762
6	470	66770
7	517	64133
8	566	62376
9	608	60250
10	648	58321
11	691	56916
12	731	55538
13	772	54398
14	813	53399
15	855	52602
16	896	51847
17	941	51353
18	988	51014
19	1035	50739
20	1080	50368
21	1123	49936
22	1165	49507
23	1206	49072
24	1248	48697
25	1290	48360
26	1332	48022
27	1380	47908
28	1421	47590
29	1463	47306
30	1503	47008
31	1545	46754
32	1584	46432
33	1627	46238
34	1665	45925
35	1706	45695
36	1747	45481
37	1784	45177
38	1826	45010
39	1865	44768
40	1905	44580
41	1950	44491
42	1989	44280
43	2030	44108
44	2072	43992
45	2112	43804
46	2153	43661
47	2194	43530
48	2235	43389
49	2275	43225
50	2316	43101
51	2353	42913
52	2392	42748
53	2434	42654
54	2476	42549
55	2517	42435
56	2555	42276
57	2598	42196
58	2640	42107
59	2680	42002
60	2719	41870
61	2761	41782
62	2798	41625
63	2836	41486
64	2875	41362
65	2916	41278
66	2958	41203
67	3001	41137
68	3041	41042
69	3082	40955
70	3123	40875
71	3165	40795
72	3204	40693
73	3242	40576
74	3284	40507
75	3326	40445
76	3366	40354
77	3408	40293
78	3452	40253
79	3487	40110
80	3528	40038
81	3573	40011
82	3613	39920
83	3660	39920
84	3697	39797
85	3736	39715
86	3777	39644
87	3817	39558
88	3857	39489
89	3892	39362
90	3940	39358
91	3982	39300
92	4020	39207
93	4056	39099
94	4098	39042
95	4136	38955
96	4179	38905
97	4216	38810
98	4259	38768
99	4288	38592
100	4333	38575
101	4382	38586
102	4427	38562
103	4470	38517
104	4515	38486
105	4558	38449
106	4599	38382
107	4634	38281
108	4671	38184
109	4709	38100
110	4750	38043
111	4788	37965
112	4829	37910
113	4871	37864
114	4912	37801
115	4954	37755
116	4994	37696
117	5036	37644
118	5078	37597
119	5120	37552
120	5161	37497
121	5235	37681
122	5276	37624
123	5320	37590
124	5345	37419
125	5392	37403
126	5435	37363
127	5481	37342
128	5524	37300
129	5569	37270
130	5608	37206
131	5651	37159
132	5694	37120
133	5743	37118
134	5793	37122
135	5834	37063
136	5879	37035
137	5919	36973
138	5955	36890
139	5993	36815
140	6034	36761
141	6077	36724
142	6119	36673
143	6164	36642
144	6205	36592
145	6245	36531
146	6287	36486
147	6324	36407
148	6360	36328
149	6400	36272
150	6443	36229
151	6484	36179
152	6523	36113
153	6563	36057
154	6606	36015
155	6645	35952
156	6685	35899
157	6728	35856
158	6769	35807
159	6807	35741
160	6851	35704
161	6892	35652
162	6936	35619
163	6976	35561
164	7017	35514
165	7057	35457
166	7097	35401
167	7135	35337
168	7180	35305
169	7222	35262
170	7261	35202
171	7302	35151
172	7353	35154
173	7388	35074
174	7432	35038
175	7469	34969
176	7512	34932
177	7550	34869
178	7593	34829
179	7630	34763
180	7673	34721
181	7715	34678
182	7750	34604
183	7799	34589
184	7846	34564
185	7886	34512
186	7922	34444
187	7965	34403
188	8004	34346
189	8043	34290
190	8096	34293
191	8154	34316
192	8200	34290
193	8240	34236
194	8283	34195
195	8321	34134
196	8361	34081
197	8403	34038
198	8443	33987
199	8485	33943
200	8527	33899
201	8567	33846
202	8609	33800
203	8648	33747
204	8688	33695
205	8730	33649
206	8767	33585
207	8806	33530
208	8845	33479
209	8885	33426
210	8927	33383
211	8964	33321
212	9002	33264
213	9037	33192
214	9076	33138
215	9112	33074
216	9151	33020
217	9194	32980
218	9232	32924
219	9276	32887
220	9311	32823
221	9354	32782
222	9394	32731
223	9433	32680
224	9474	32634
225	9512	32578
226	9552	32530
227	9594	32485
228	9637	32449
229	9678	32401
230	9721	32364
231	9761	32312
232	9798	32253
233	9838	32206
234	9875	32148
235	9919	32111
236	9957	32057
237	9998	32011
238	10039	31967
239	10076	31907
240	10116	31860
241	10156	31811
242	10200	31776
243	10238	31721
244	10274	31662
245	10314	31613
246	10351	31556
247	10392	31511
248	10428	31454
249	10463	31391
250	10547	31475
251	10586	31422
252	10625	31371
253	10663	31319
254	10702	31268
255	10743	31222
256	10784	31177
257	10825	31133
